iso,year,crop,yield,area,production,yield_trend,yield_anom_pct,spei3_gs,spei6_gs,spei12_gs,spi6_gs,spei12_ann,gs_t,gs_p,gs_t_z,gs_p_z,ann_t,ann_p,t_max_gs_z,spei3_min_gs,oni_djf,oni_mam,oni_jja,price_usd_t,price_lcu_t,spei6_gs_lag1,yield_anom_lag1
RUS,1992,Wheat,1903.0,24259500.0,46166670.0,1601.6332827670988,18.816212205095916,-0.1259183069606939,-0.7510830113236716,-0.5336496866179025,-1.36198530366331,0.23440280782596334,10.705,210.67,-2.121676492012887,-2.3692543166120146,-4.780833333333333,451.71,-2.304831928642927,-1.2536889111007863,1.71,1.29,0.37,227.8,8200.0,,
RUS,1993,Wheat,1765.5,24665480.0,43546550.0,1609.1360066140062,9.71726396919175,0.10317718996835924,-0.363988006245174,0.4685307387510967,-0.39006389336240577,-0.03871952503639031,10.9875,229.22,-1.5309181094318856,-0.4139369889814218,-4.5,451.75,-0.2931332378074586,-0.8636988819510467,0.09,0.67,0.32,138.7,48200.0,-0.7510830113236716,18.816212205095916
RUS,1994,Wheat,1449.8,22160500.0,32128210.0,1619.7389081541473,-10.49174699074245,0.2775953416831792,0.8868000615772018,0.8288991842399395,0.8746801525326817,0.687026810383233,10.9075,241.45999999999998,-1.6982125186583636,0.8762562234281956,-4.806666666666667,472.71000000000004,-1.3085621008005996,-0.13525396438715312,0.06,0.31,0.44,76.4,106000.0,-0.363988006245174,9.71726396919175
RUS,1995,Wheat,1394.6,21597000.0,30118470.0,1632.496260084796,-14.572545487634937,-1.0259787113489374,-0.7675231181247638,-0.35504498330158263,0.018061803164024105,-0.05804821063430898,11.4225,227.58999999999997,-0.621254759262914,-0.5857519347516595,-3.095,472.19,-1.0020175383875753,-1.0259787113489374,0.96,0.3,-0.24,102.1,365300.0,0.8868000615772018,-10.49174699074245
RUS,1996,Wheat,1544.9,22546000.0,34831232.0,1646.5911541007058,-6.175859371493154,-0.11171305957668692,-1.241245621065619,-1.004380218943078,-1.3518941199270602,-0.3331603411067462,11.0625,224.8,-1.374079600782064,-0.8798400934626719,-4.655,447.4,0.2816378167169629,-2.0034619932614897,-0.9,-0.39,-0.27,125.0,639900.0,-0.7675231181247638,-14.572545487634937
RUS,1997,Wheat,1841.7,24018400.0,44235132.0,1661.7438328513874,10.829356702941736,-0.07662494582614467,0.07612825616014395,1.151002662352684,0.7194723198054399,0.46943641560035093,11.22,234.34,-1.0447187326174339,0.12575167503306003,-4.173333333333333,475.48,-2.055764471682347,-0.46580072530338873,-0.5,0.28,1.6,107.5,621800.0,-1.241245621065619,-6.175859371493154
RUS,1998,Wheat,1359.4,19858200.0,26994700.0,1678.3332285038964,-19.002974086868342,-1.9913370444520344,-1.123552681027332,-0.7191692750053988,-0.24912595661917564,0.3190762297504161,11.6325,222.91,-0.1821069350434073,-1.079061104202394,-5.0575,473.78,1.5844522069723113,-1.9913370444520344,2.24,0.99,-0.78,56.3,546.0,0.07612825616014395,10.829356702941736
RUS,1999,Wheat,1569.1,19755200.0,30996953.0,1699.312460271509,-7.662655533680035,-1.3505237620675847,-1.4403081855009265,0.12248730962223084,-1.438612703199607,-0.7078509397921319,11.2175,218.20000000000002,-1.049946682905764,-1.5755325119188388,-4.6525,451.3,0.9138859766938252,-1.6403390739562171,-1.55,-0.98,-1.1,60.4,1488.0,-1.123552681027332,-19.002974086868342
RUS,2000,Wheat,1614.4,21346000.0,34460052.0,1738.6244197328285,-7.144983029279999,0.16769706482501662,0.27060279381174707,0.5840134922940651,1.8562839028682072,-0.08687668221905695,11.7125,251.53,-0.014812525816929129,1.9377142012848048,-4.413333333333333,477.11,-0.5038826244664115,-0.07527892852728124,-1.66,-0.81,-0.55,77.5,2179.0,-1.4403081855009265,-7.662655533680035
RUS,2001,Wheat,2058.3,22832700.0,46996294.0,1784.4180855593277,15.34852827692698,-1.6650641308395495,-1.011772300926917,-0.9939188249660397,1.165833235664628,-0.5032006208457936,12.105,236.05,0.8059756694504788,0.3059992561785224,-4.389166666666667,478.31,0.9138859766938252,-1.6650641308395495,-0.68,-0.34,-0.08,76.9,2242.0,0.27060279381174707,-7.144983029279999
RUS,2002,Wheat,2068.1,24477700.0,50622106.0,1836.684339819684,12.599642473297019,-1.8196927097252218,-1.5128089441982482,-0.5799603521088691,-0.2971239386399633,-0.4866616995052235,11.79,221.91,0.14725393312121893,-1.1844690463927225,-3.9199999999999995,472.65999999999997,0.7222956251856825,-1.8196927097252218,-0.15,0.2,0.79,55.9,1751.0,-1.011772300926917,15.34852827692698
RUS,2003,Wheat,1703.0,20005600.0,34069788.0,1894.3843279557277,-10.102719133147327,-1.1221094433169343,-1.6990066650679352,-1.3987467640189304,-0.7463084575300207,-1.574175273321797,11.7425,226.3,0.047922877642998796,-0.7217281801771793,-3.7525,454.73,0.16668360581207795,-1.821154286463981,0.92,-0.04,0.08,78.9,2423.0,-1.5128089441982482,12.599642473297019
RUS,2004,Wheat,1982.3,22919900.0,45433661.0,1952.217302168842,1.5409502721719122,0.04199274735961471,0.41371007664387066,0.4811796050130398,1.1034305279766348,1.2497031936835779,11.2425,236.18,-0.9976671800224889,0.3197022886632646,-4.3375,493.79,-0.5230416596172252,-0.23474694237391494,0.37,0.17,0.47,112.5,3242.0,-1.6990066650679352,-10.102719133147327
RUS,2005,Wheat,1929.1,24682600.0,47614681.0,2004.2695433123906,-3.7504707669289066,-1.0276609755541712,-1.2133110976485557,-0.5131033239080616,0.8243355964147803,-1.8755342267074968,12.0525,231.99,0.6961887133956022,-0.12195698911421107,-3.5066666666666664,459.73,0.8372498360905708,-1.4569161318847752,0.64,0.43,-0.06,88.7,2508.0,0.41371007664387066,1.5409502721719122
RUS,2006,Wheat,1949.2,23049100.0,44926880.0,2043.0253744903855,-4.592472304157718,-1.0477397693929422,-0.7483128959690326,-1.5260522069014935,0.3654186142179926,0.12829887206862842,11.5625,229.49,-0.3284895431165762,-0.38547684459003206,-4.655833333333333,483.1,-0.8679042923318767,-1.4062020333724483,-0.85,-0.37,0.1,112.5,3060.0,-1.2133110976485557,-3.7504707669289066
RUS,2007,Wheat,2100.7,23500500.0,49367973.0,2072.0133901696304,1.384479944312567,-0.40257596124237094,-0.2678052298092701,1.2163691254676325,1.7622167868286271,0.009070308936152967,11.965,252.19,0.5132104533041411,2.007283443130421,-2.955833333333333,491.52,0.5498643088283567,-0.40257596124237094,0.66,-0.32,-0.56,181.9,4653.0,-0.7483128959690326,-4.592472304157718
RUS,2008,Wheat,2445.9,26070300.0,63765140.0,2102.735753839414,16.319894001611846,-0.24104852788872327,-0.047723608960193266,-0.32095394283783046,1.3980542142433212,0.9552888231986206,11.6525,238.54,-0.1402833327367887,0.568465032232438,-3.285833333333333,494.90999999999997,-0.27397420265664496,-1.0413069859676056,-1.64,-1.01,-0.37,205.3,5103.0,-0.2678052298092701,1.384479944312567
RUS,2009,Wheat,2318.2,26632864.0,61739751.0,2142.96915111764,8.177012197817689,-0.004149242406421092,-0.10459997832228995,0.9621010776369614,0.6696860577500565,-0.10561522663858962,11.32,237.75,-0.8356007210843371,0.4851927579020795,-4.575,473.74,-1.0403356086892024,-0.7022070355271316,-0.85,-0.33,0.45,134.2,4259.8,-0.047723608960193266,16.319894001611846
RUS,2010,Wheat,1918.1,21639828.0,41507581.0,2193.4312608514233,-12.552536556105624,-1.5940422647537833,-1.9257873345742733,-1.9227646362028006,0.1187103247441254,-1.02106236561997,12.325,231.84000000000003,1.2660352948232911,-0.13776818044275793,-4.470833333333332,477.5,1.1437943985035952,-1.841950885061877,1.5,0.35,-1.05,127.3,3867.0,-0.10459997832228995,8.177012197817689
RUS,2011,Wheat,2264.5,24835516.0,56239994.0,2250.5872183116526,0.6181845153632626,-1.3690095099186435,-1.712645078972323,-0.8208949792973004,0.24950065056043,-1.4184967871425185,12.1925,229.98000000000002,0.98895392954194,-0.33382695291677017,-3.375833333333333,467.01,0.8372498360905708,-1.9016456918184967,-1.31,-0.62,-0.43,173.8,5108.0,-1.9257873345742733,-12.552536556105624
RUS,2012,Wheat,1772.7,21277882.0,37719640.0,2311.2327349940465,-23.30067097268911,-1.575469250356595,-1.576699831150593,-1.5262365312922879,1.069060037416791,-1.2088877148296175,12.4525,234.13,1.532660759527993,0.10361600717309025,-3.9325000000000006,483.84,1.507816066369057,-2.324389643650049,-0.72,-0.36,0.3,207.8,6409.0,-1.712645078972323,0.6181845153632626
RUS,2013,Wheat,2228.8,23371410.0,52090797.0,2371.4518584580355,-6.015380744468934,-0.7861190257235096,-0.5830947686055786,-0.04179107404020897,1.8936862160688204,0.8276728445040674,12.1725,245.48,0.9471303272353176,1.299996151033317,-3.5933333333333337,505.0,0.14752457066126434,-1.2475174210445035,-0.29,-0.19,-0.35,210.9,6715.0,-1.576699831150593,-23.30067097268911
RUS,2014,Wheat,2497.6,23907772.0,59711381.9,2432.978418841265,2.656068819118901,-0.8018711451035491,-0.9598361499948554,0.7760802891649556,0.9233799664088699,-0.6827041286412365,11.945,238.7,0.4713868509975225,0.5853303029828902,-3.665833333333333,472.98,-0.8870633274826937,-0.8018711451035491,-0.28,0.15,0.1,178.5,6848.7,-0.5830947686055786,-6.015380744468934
RUS,2015,Wheat,2388.3,25870340.0,61785799.2,2501.128303356218,-4.511096180264551,-1.3222310764307168,-1.2672426695235548,-0.7880985644643232,0.6894513266276796,-0.38377878443936025,12.030000000000001,231.78,0.6491371608006572,-0.14409265697418086,-2.9583333333333335,485.91999999999996,-0.40808744871234354,-1.4820416369104725,0.69,0.81,1.57,143.9,8768.0,-0.9598361499948554,2.656068819118901
RUS,2016,Wheat,2685.4,27312777.0,73345679.0,2582.488128773756,3.984989130428629,-1.3604430345778287,-1.1022146643170128,-0.23866694554359003,1.5548189611670522,-1.2713095408497468,12.395,243.89,1.4124179028964599,1.1323975229506944,-3.2449999999999997,481.23,1.2012715039560327,-1.505621329021087,2.63,1.05,-0.31,131.8,8837.0,-1.2672426695235548,-4.511096180264551
RUS,2017,Wheat,3125.4,27517354.0,86002542.0,2673.603669969651,16.89840327139727,-0.5926750150911665,0.510359065083145,-0.16929253986119966,1.7951313282246573,1.3981405044670974,11.61,244.88,-0.22915848763835603,1.2367513857191204,-2.983333333333333,502.86,-0.5422006947680387,-0.5926750150911665,-0.19,0.31,0.19,125.2,7304.0,-1.1022146643170128,3.984989130428629
RUS,2018,Wheat,2725.0,26472051.0,72136149.0,2759.0291724377553,-1.2333748688742068,-1.9541652286663151,-1.3100362906494194,-0.13490782412413507,0.22626869381095627,-0.8676490260321773,11.9075,222.26,0.39296759667261166,-1.1475762666261082,-3.5050000000000003,477.74,-0.04406578084687501,-1.9541652286663151,-0.77,-0.39,0.14,136.2,8537.0,0.510359065083145,16.89840327139727
RUS,2019,Wheat,2701.6,27558617.0,74452692.0,2840.5475094418516,-4.8915749157511526,-1.5739482328616958,-1.4450270097379012,-0.8844461789501147,0.4896833940282019,-0.1945660858776879,12.09,233.5,0.774607967720513,0.03720900359318383,-2.943333333333333,489.97999999999996,-0.35061034325989937,-1.6878898330598784,0.89,0.77,0.33,158.8,10279.0,-1.3100362906494194,-1.2333748688742068
RUS,2020,Wheat,2975.9,28864312.0,85896325.7,2919.737076694642,1.9235609861466958,-1.6695704752063412,-1.4329441370103404,0.10457505522445858,1.2802001491429027,-1.2396672046799107,12.4375,239.1,1.5012930577980272,0.6274934798590223,-1.7691666666666663,486.85,0.8755679063921981,-1.6825332551977235,0.64,0.3,-0.36,169.8,12240.0,-1.4450270097379012,-4.8915749157511526
RUS,2021,Wheat,2724.4,27918333.0,76060948.4,2997.4793872711844,-9.110300755722212,-2.578789764068352,-2.2659070803287302,-2.1977327603592993,0.3606299743026371,-1.0428222650312409,12.817499999999999,225.06,2.295941501623796,-0.8524340284931875,-3.7608333333333337,488.6,1.3737028203133583,-2.578789764068352,-0.91,-0.55,-0.35,193.7,14265.0,-1.4329441370103404,1.9235609861466958
RUS,2022,Wheat,3550.8,29354766.0,104233944.0,3074.344209981651,15.497802375915242,-1.3437421648356216,-1.318463489447537,-0.08027755186297146,1.3972801891473903,0.08379732920532264,12.445,242.14999999999998,1.5169769086630103,0.948987703539522,-2.955833333333333,500.28,1.1437943985035952,-1.3437421648356216,-0.82,-0.95,-0.76,187.1,12813.0,-2.2659070803287302,-9.110300755722212
